backbone,seq_length,n_fixed,n_tolerant,mean_entropy,max_entropy,library_size_log10,library_size
design_0_0,70,30,40,0.589,1.906,52.0,20^40
design_10_0,70,24,46,0.686,2.25,59.8,20^46
design_11_0,70,19,51,0.777,1.906,66.4,20^51
design_12_0,70,14,56,0.942,1.906,72.9,20^56
design_13_0,70,21,49,0.839,2.156,63.8,20^49
design_14_0,70,25,45,0.668,1.906,58.5,20^45
design_15_0,70,20,50,0.832,2.156,65.1,20^50
design_16_0,70,33,37,0.521,1.906,48.1,20^37
design_17_0,70,26,44,0.578,2.156,57.2,20^44
design_18_0,70,44,26,0.371,1.75,33.8,20^26
design_19_0,70,29,41,0.605,2.156,53.3,20^41
design_1_0,70,16,54,0.87,2.156,70.3,20^54
design_20_0,70,33,37,0.56,2.0,48.1,20^37
design_21_0,70,20,50,0.798,1.906,65.1,20^50
design_22_0,70,30,40,0.585,1.906,52.0,20^40
design_23_0,70,34,36,0.684,2.156,46.8,20^36
design_2_0,70,29,41,0.641,2.156,53.3,20^41
design_3_0,70,26,44,0.751,2.25,57.2,20^44
design_4_0,70,19,51,0.805,2.25,66.4,20^51
design_5_0,70,29,41,0.624,2.0,53.3,20^41
design_6_0,70,24,46,0.719,2.5,59.8,20^46
design_7_0,70,34,36,0.564,2.0,46.8,20^36
design_8_0,70,36,34,0.502,2.156,44.2,20^34
design_9_0,70,34,36,0.555,1.906,46.8,20^36
